Arcos de Valdevez,11239,13227,447.6088468
Caminha,7816,9023,136.445524
Melgaço,4268,5311,238.2524658
Monção,9053,10685,211.3146481
Paredes de Coura,4466,4901,138.1899336
Ponte da Barca,6176,6865,182.1186677
Ponte de Lima,21360,23307,320.2526321
Valença,6674,7650,117.1320632
Viana do Castelo,43340,47898,318.6022576
Vila Nova de Cerveira,4207,4545,108.4698268
Amares,9637,9995,81.9562791
Barcelos,60657,63811,378.9116876
Braga,83599,90347,183.179036
Esposende,16980,18168,95.4125211
Terras de Bouro,3808,3957,277.4678604
Vila Verde,23804,25018,228.6714244
Fafe,25959,27821,219.0864145
Guimarães,79961,82611,241.275991
Póvoa de Lanhoso,11758,12273,132.5397872
Santo Tirso,34359,36556,136.4995467
Trofa,19578,20451,71.8789434
Vieira do Minho,7048,7235,218.4751712
Vila Nova de Famalicão,65428,68235,201.702032
Vizela,11891,12187,24.6988812
Espinho,14850,15799,21.107753
Gondomar,83588,88293,131.866269
Maia,65761,69939,83.1364556
Matosinhos,81713,87391,62.2418129
Porto,103178,124612,41.2881987
Póvoa de Varzim,31866,34350,82.0539688
Valongo,45860,48484,75.1263223
Vila do Conde,37541,39254,148.9730353
Vila Nova de Gaia,148473,158971,168.6610003
Amarante,29844,31627,301.4461641
Baião,10194,10958,174.5220099
Cabeceiras de Basto,8796,8948,241.8273035
Castelo de Paiva,8343,8625,115.0078612
Celorico de Basto,9799,10187,181.0744368
Cinfães,10189,10585,239.2926798
Felgueiras,28779,30143,115.7402434
Lousada,23315,23815,95.9761548
Marco de Canaveses,26973,27760,201.8943364
Mondim de Basto,4110,4283,172.0789886
Paços de Ferreira,28070,27622,70.9946391
Paredes,42744,43795,156.7606194
Penafiel,35716,36413,212.2476598
Resende,5819,5956,123.3532695
Ribeira de Pena,3545,3612,217.4646608
Arouca,11689,12185,329.1369269
Oliveira de Azeméis,35108,36257,163.5082537
Santa Maria da Feira,71160,74087,215.1280016
São João da Madeira,10260,11446,7.9431666
Vale de Cambra,12163,12428,146.5160116
Alijó,6697,7025,297.6046759
Armamar,3497,3720,117.242898
Carrazeda de Ansiães,3351,3675,279.2459002
Freixo de Espada à Cinta,1909,2022,244.1859375
Lamego,12682,13802,165.3923422
Mesão Frio,2196,2328,26.6547883
Moimenta da Beira,5270,5760,219.9730677
Penedono,1625,1721,133.7097834
Peso da Régua,8457,9035,94.8653797
Sabrosa,3280,3431,156.9297854
Santa Marta de Penaguião,3952,4300,69.305568
São João da Pesqueira,4085,4117,266.1132799
Sernancelhe,3000,3104,228.6161837
Tabuaço,3081,3278,133.8591823
Tarouca,4133,4224,100.0848424
Torre de Moncorvo,4352,4782,531.5860947
Vila Flor,3723,3902,265.8161293
Vila Nova de Foz Côa,3856,4250,398.15823
Vila Real,24288,26135,378.8004148
Alfândega da Fé,2738,2786,321.9960855
Boticas,2912,3023,321.9639494
Bragança,16733,17895,1173.5936715
Chaves,21419,22858,591.2423395
Macedo de Cavaleiros,8100,8917,699.1596264
Miranda do Douro,3695,3797,487.2285413
Mirandela,12436,13238,658.9691942
Mogadouro,5249,5334,760.4613833
Montalegre,5717,6076,805.47658
Murça,3104,3209,189.3748241
Valpaços,9126,9774,548.7504552
Vila Pouca de Aguiar,7310,7733,437.075578
Vimioso,2442,2533,481.642156
Vinhais,4750,4978,694.7781841
Águeda,24181,25731,335.2813185
Albergaria-a-Velha,12633,13288,157.5632583
Anadia,15299,16361,216.6391418
Aveiro,35385,38174,197.4716139
Estarreja,13729,14603,108.8051845
Ílhavo,19761,20588,73.4741232
Mealhada,10668,11247,110.6587621
Murtosa,4760,5044,73.0964826
Oliveira do Bairro,11106,11860,87.321707
Ovar,28054,29457,147.4178117
Sever do Vouga,6206,6614,129.6053785
Vagos,11638,12080,164.9186354
Cantanhede,18730,20130,390.8882717
Coimbra,65233,73850,319.4054292
Condeixa-a-Nova,8130,8950,138.6772945
Figueira da Foz,30286,33086,379.0571847
Mira,6315,6933,124.0334536
Montemor-o-Velho,12071,12879,228.9668947
Penacova,8129,8767,216.7362512
Soure,10041,10631,265.0656878
Batalha,7777,8012,103.4138334
Leiria,62245,64790,565.2981812
Marinha Grande,18865,19563,187.2481266
Pombal,29006,30465,626.0808907
Porto de Mós,12242,12780,261.6184513
Alvaiázere,3789,4152,160.4795667
Ansião,6546,7089,176.1520147
Arganil,6201,6772,332.8446741
Castanheira de Pêra,1567,1750,66.7755364
Figueiró dos Vinhos,3275,3684,173.4428396
Góis,2167,2332,263.3060948
Lousã,8932,9341,138.4024293
Miranda do Corvo,6680,6942,126.3801448
Oliveira do Hospital,10548,11244,234.5203751
Pampilhosa da Serra,2157,2383,396.4682713
Pedrógão Grande,2003,2154,128.7494862
Penela,3101,3235,134.8022664
Tábua,5885,6518,199.7891814
Vila Nova de Poiares,3681,3776,84.4544606
Aguiar da Beira,2990,3272,206.7691528
Carregal do Sal,5087,5548,116.8941574
Castro Daire,8173,8559,379.0626363
Mangualde,10317,10931,219.259301
Mortágua,5009,5268,251.1829387
Nelas,7110,7537,125.7169379
Oliveira de Frades,5106,5528,145.349123
Penalva do Castelo,4184,4466,134.3414449
Santa Comba Dão,5860,6501,111.9497012
São Pedro do Sul,9226,10044,348.9579569
Sátão,6526,6997,201.9446326
Tondela,14858,16063,371.2242394
Vila Nova de Paiva,3106,3270,175.5360464
Viseu,47071,51096,507.1107089
Vouzela,5773,5982,193.6983677
Mação,3560,3859,400.0122029
Oleiros,2903,3085,471.0982634
Proença-a-Nova,4433,4632,395.3846794
Sertã,7613,8354,446.732027
Vila de Rei,1531,1629,191.547626
Fornos de Algodres,2570,2798,131.452594
Gouveia,7380,8248,300.6162832
Seia,13083,14202,435.6950274
Almeida,3482,3920,517.9909693
Celorico da Beira,4182,4501,247.2200202
Figueira de Castelo Rodrigo,3212,3511,508.5817332
Guarda,21246,23018,712.1053815
Manteigas,1756,2012,121.9772762
Meda,2784,3095,286.0537271
Pinhel,4851,5331,484.5280068
Sabugal,6484,7285,822.6897298
Trancoso,5024,5488,361.5303364
Castelo Branco,26203,28371,1438.2024655
Idanha-a-Nova,5035,5526,1416.349421
Penamacor,2867,3049,563.8148388
Vila Velha de Ródão,1735,1895,329.9126799
Belmonte,3672,4050,118.7606065
Covilhã,25568,27378,555.6082956
Fundão,15058,16118,700.1280299
Alcobaça,27318,28279,408.1445938
Alenquer,22248,22543,304.2264828
Arruda dos Vinhos,5828,5967,77.9509465
Bombarral,6850,7006,91.2828882
Cadaval,7094,7431,174.917686
Caldas da Rainha,24976,27294,255.7170581
Lourinhã,12513,12644,147.1764471
Nazaré,7198,7503,82.4379398
Óbidos,5567,5734,141.5595557
Peniche,13938,14550,77.5520505
Sobral de Monte Agraço,4991,5194,52.0983524
Torres Vedras,37456,39240,407.1447111
Abrantes,19841,20859,714.7253814
Alcanena,7229,7471,127.3356295
Constância,1824,1969,80.3732086
Entroncamento,10131,10765,13.7295864
Ferreira do Zêzere,4454,4779,190.3886642
Ourém,24118,26065,416.5661012
Sardoal,1899,1998,92.1480454
Tomar,20356,22219,351.211642
Torres Novas,17879,19301,270.0006947
Vila Nova da Barquinha,4011,4039,49.5596094
Amadora,83440,91071,23.7815436
Cascais,88454,96825,97.3813973
Lisboa,231908,277843,84.7395494
Loures,96290,101277,169.3398477
Mafra,33515,32938,291.6624247
Odivelas,72700,76206,26.3461535
Oeiras,80502,90175,45.7424086
Sintra,210588,217882,319.2154281
Vila Franca de Xira,67590,70325,317.6770597
Alcochete,7901,8293,128.369212
Almada,80286,85727,70.202727
Barreiro,37934,40676,31.775909
Moita,34621,36398,55.2624762
Montijo,19813,21139,348.127892
Palmela,29684,30935,462.8682498
Seixal,83638,86988,95.4590441
Sesimbra,23853,24257,195.0129155
Setúbal,59986,62568,171.8556314
Alcácer do Sal,6549,6805,1465.1286649
Grândola,7241,6973,807.684478
Odemira,12948,12678,1720.6092227
Santiago do Cacém,14864,15055,1059.7657732
Sines,6845,6829,202.596764
Alter do Chão,1695,1858,362.0128994
Arronches,1604,1647,314.7544108
Avis,2443,2564,605.9609759
Campo Maior,4086,4256,247.1910827
Castelo de Vide,1817,1931,264.9062547
Crato,1845,1990,398.0386008
Elvas,11032,11445,631.2066652
Fronteira,1542,1744,248.6228585
Gavião,2044,2208,294.5967778
Marvão,1767,1852,154.8870507
Monforte,1437,1753,420.2615725
Mora,2613,2735,443.984466
Nisa,3758,4084,575.7367516
Ponte de Sor,8438,8902,839.7138539
Portalegre,11804,12544,447.0986951
Alandroal,3019,3168,542.6701785
Arraiolos,3514,3803,683.794383
Borba,3697,3786,145.1870545
Estremoz,7160,7651,513.8057466
Évora,26679,28741,1307.0363048
Montemor-o-Novo,9108,9432,1232.9364076
Mourão,1927,1443,278.6185766
Portel,3500,3617,601.2167758
Redondo,3334,3493,369.5010032
